,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,7005410,34197767,Entire home/apt,NA,De Pijp / Rivierenbuurt,3,4,4,2,250,NA,52.356932,4.897268,10:07.6
2,7854067,6870134,Private room,NA,De Pijp / Rivierenbuurt,109,5,2,0,131,NA,52.355557,4.898291,05:55.6
3,17279326,68362369,Entire home/apt,NA,Osdorp,0,0,4,2,156,NA,52.355306,4.80123,56:44.4
4,16235663,106117460,Entire home/apt,NA,Centrum Oost,5,4.5,3,0,128,NA,52.362274,4.899073,24:54.6
5,6905082,25676251,Entire home/apt,NA,De Baarsjes / Oud West,0,0,2,1,203,NA,52.365446,4.878219,54:01.7
6,3017539,4389536,Entire home/apt,NA,De Pijp / Rivierenbuurt,1,0,4,2,200,NA,52.350861,4.888768,55:55.5
7,14479496,11224017,Entire home/apt,NA,Centrum Oost,1,0,2,1,156,NA,52.363232,4.909392,31:25.7
8,12079751,64676158,Entire home/apt,NA,Westerpark,27,4.5,6,1,388,NA,52.38185,4.869819,01:34.4
9,16550737,10508004,Entire home/apt,NA,Oud Oost,2,0,3,2,134,NA,52.355649,4.914173,28:36.4
10,12504637,67714402,Entire home/apt,NA,De Baarsjes / Oud West,9,4.5,3,1,134,NA,52.368341,4.872636,26:37.7
11,13584092,7726544,Entire home/apt,NA,De Pijp / Rivierenbuurt,3,5,4,2,267,NA,52.356839,4.899469,10:34.4
12,15230362,1464510,Entire home/apt,NA,Centrum Oost,2,0,3,1,122,NA,52.370795,4.90891,06:24.9
13,16989622,24028404,Private room,NA,Oostelijk Havengebied / Indische Buurt,0,0,2,1,100,NA,52.360977,4.944279,58:12.1
14,12165996,65346045,Entire home/apt,NA,Westerpark,4,4,2,1,78,NA,52.378353,4.870598,23:01.8
15,13015013,64969149,Entire home/apt,NA,Oud Oost,2,0,2,1,78,NA,52.357714,4.918749,23:03.8
16,4323808,22449982,Entire home/apt,NA,De Pijp / Rivierenbuurt,23,5,2,1,123,NA,52.349868,4.905566,13:22.4
17,15878023,69958585,Entire home/apt,NA,De Pijp / Rivierenbuurt,6,5,4,2,150,NA,52.350994,4.895658,37:25.8
18,12500332,10066180,Entire home/apt,NA,Bos en Lommer,3,5,4,2,82,NA,52.379552,4.850589,23:16.1
19,16526564,7283658,Entire home/apt,NA,Slotervaart,0,0,4,2,109,NA,52.365372,4.841167,34:21.7
20,16223958,38238734,Private room,NA,Noord-West / Noord-Midden,1,0,2,1,83,NA,52.355226,4.868651,57:53.9
21,2381731,12168785,Entire home/apt,NA,Oud Noord,31,5,2,1,110,NA,52.389966,4.945469,06:12.1
22,5489185,28463096,Entire home/apt,NA,Oostelijk Havengebied / Indische Buurt,16,4.5,3,1,147,NA,52.363672,4.941956,25:14.8
23,15693863,101182290,Entire home/apt,NA,Oud Noord,12,4,2,0,67,NA,52.399974,4.904658,22:55.7
24,15071447,38223839,Entire home/apt,NA,De Baarsjes / Oud West,5,5,2,1,84,NA,52.366543,4.869221,31:14.1
25,6714113,35151438,Entire home/apt,NA,De Baarsjes / Oud West,25,4.5,3,1,111,NA,52.372481,4.8584,16:23.2
26,17344238,110263956,Entire home/apt,NA,Noord-West / Noord-Midden,0,0,4,2,334,NA,52.359304,4.883484,03:20.0
27,16049857,17555210,Entire home/apt,NA,Bos en Lommer,0,0,4,2,144,NA,52.376889,4.849486,36:53.7
28,4877696,10905140,Entire home/apt,NA,Centrum Oost,3,5,2,1,55,NA,52.371156,4.93251,22:49.9
29,17431301,117925231,Entire home/apt,NA,Noord-West / Noord-Midden,0,0,2,1,111,NA,52.354977,4.848898,36:55.7
30,5184303,219080,Private room,NA,Centrum West,13,5,4,1,222,NA,52.384282,4.886234,06:33.9
31,9208956,47895041,Entire home/apt,NA,De Baarsjes / Oud West,8,5,2,1,122,NA,52.372078,4.870292,10:53.2
32,12107620,22869169,Entire home/apt,NA,Centrum West,16,4.5,4,3,501,NA,52.374233,4.895575,01:36.8
33,2199617,9900371,Entire home/apt,NA,Noord-West / Noord-Midden,1,0,2,1,183,NA,52.349802,4.846231,59:08.5
34,9619915,3223740,Entire home/apt,NA,De Baarsjes / Oud West,3,5,2,1,100,NA,52.366194,4.866,32:23.6
35,15410682,27987182,Entire home/apt,NA,Ijburg / Eiland Zeeburg,2,0,6,3,262,NA,52.356952,4.996667,04:57.1
36,17489171,117751539,Entire home/apt,NA,Centrum West,2,0,4,3,162,NA,52.381848,4.884698,24:46.9
37,12848067,14836012,Entire home/apt,NA,De Baarsjes / Oud West,7,5,2,1,144,NA,52.366203,4.873467,24:00.2
38,17375788,94928443,Entire home/apt,NA,Oostelijk Havengebied / Indische Buurt,1,0,2,1,95,NA,52.362588,4.936044,25:27.5
39,6941269,17351613,Entire home/apt,NA,De Aker / Nieuw Sloten,2,0,8,4,278,NA,52.344712,4.797491,39:11.4
40,9656707,3430410,Entire home/apt,NA,Centrum Oost,12,4.5,4,2,217,NA,52.364522,4.896957,04:44.9
41,10385971,53462025,Entire home/apt,NA,Centrum West,15,4,2,0,143,NA,52.378229,4.88138,25:24.8
42,14144923,85420364,Entire home/apt,NA,Centrum West,17,5,4,2,779,NA,52.372847,4.897476,10:57.1
43,11309632,58981910,Entire home/apt,NA,Centrum West,44,5,2,1,167,NA,52.372534,4.886407,24:53.2
44,1195964,6535544,Entire home/apt,NA,De Baarsjes / Oud West,24,5,2,1,83,NA,52.362082,4.869674,31:05.9
45,13489366,3737342,Entire home/apt,NA,De Pijp / Rivierenbuurt,0,0,4,2,167,NA,52.341677,4.896916,52:36.9
46,8140241,41947772,Private room,NA,De Baarsjes / Oud West,61,4.5,1,1,61,NA,52.372693,4.855896,48:49.6
47,15713326,4773994,Entire home/apt,NA,Bos en Lommer,6,5,2,1,89,NA,52.373686,4.846149,37:24.2
48,479080,2372885,Entire home/apt,NA,Oostelijk Havengebied / Indische Buurt,0,0,3,1,99,NA,52.359033,4.941101,27:12.6
49,3957639,20511749,Private room,NA,Watergraafsmeer,85,4.5,3,1,111,NA,52.35306,4.927129,03:28.4
50,9062944,46522167,Private room,NA,Centrum West,109,5,4,2,172,NA,52.371495,4.892493,06:17.4
51,584258,2878977,Entire home/apt,NA,Noord-West / Noord-Midden,1,0,2,1,156,NA,52.353716,4.85579,56:21.0
52,64736,306192,Entire home/apt,NA,De Baarsjes / Oud West,71,5,2,1,162,NA,52.363481,4.867834,24:39.9
53,11365620,7671222,Entire home/apt,NA,Centrum Oost,48,4.5,4,1,221,NA,52.369781,4.908172,04:21.7
54,11130712,57843575,Entire home/apt,NA,Noord-West / Noord-Midden,0,0,2,1,139,NA,52.350266,4.854614,41:31.4
55,13681466,75853297,Entire home/apt,NA,Centrum Oost,0,0,4,2,417,NA,52.36338,4.899048,01:23.8
