,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,15354390,54462543,Private room,NA,Sants-Montjuïc,2,0,1,1,40,NA,41.372225,2.157045,37:38.0
2,13444132,630137,Entire home/apt,NA,Eixample,0,0,2,2,44,NA,41.378615,2.154566,21:39.1
3,15225357,96299106,Entire home/apt,NA,Eixample,14,4.5,4,2,167,NA,41.398476,2.172965,55:34.4
4,4350592,13172148,Entire home/apt,NA,Sants-Montjuïc,97,4.5,7,3,167,NA,41.372523,2.129619,55:39.0
5,9519981,5729069,Entire home/apt,NA,Eixample,2,0,7,4,375,NA,41.392482,2.157973,29:28.8
6,15367704,2750390,Entire home/apt,NA,Eixample,14,4.5,5,2,100,NA,41.403186,2.172273,20:03.6
7,17714088,120739476,Entire home/apt,NA,Sants-Montjuïc,1,0,4,1,83,NA,41.37468,2.143717,19:10.0
8,14092839,32526838,Private room,NA,Ciutat Vella,2,0,9,1,56,NA,41.380462,2.175146,07:39.8
9,13904318,65921426,Private room,NA,Gràcia,0,0,1,1,23,NA,41.400594,2.152348,04:02.3
10,13204922,73981794,Private room,NA,Sant Martí,10,4.5,2,1,44,NA,41.404904,2.20292,47:32.6
11,6606434,10392401,Private room,NA,Sant Martí,13,4.5,2,1,44,NA,41.400125,2.197157,47:35.7
12,1558596,6071207,Entire home/apt,NA,Ciutat Vella,155,4.5,4,1,22,NA,41.383748,2.179316,17:04.0
13,3172803,16090312,Entire home/apt,NA,Ciutat Vella,97,4.5,4,1,124,NA,41.386555,2.17113,14:04.4
14,7576999,14415017,Private room,NA,Sarrià-Sant Gervasi,0,0,2,1,33,NA,41.404627,2.140528,09:11.0
15,12843403,27514370,Entire home/apt,NA,Les Corts,1,0,4,3,89,NA,41.381466,2.125989,50:49.3
16,11568875,21899342,Private room,NA,Eixample,10,4.5,3,2,55,NA,41.379631,2.149926,18:22.8
17,9044000,11175625,Entire home/apt,NA,Eixample,46,4,4,2,61,NA,41.406662,2.173842,17:26.6
18,15171277,4459553,Entire home/apt,NA,Eixample,1,0,4,2,447,NA,41.39446,2.156938,29:19.2
19,13572364,52905784,Entire home/apt,NA,Ciutat Vella,26,4,2,0,88,NA,41.376071,2.174023,24:18.0
20,1986412,10091776,Entire home/apt,NA,Sants-Montjuïc,196,5,6,2,61,NA,41.374394,2.167313,19:32.7
21,13844471,29049702,Private room,NA,Eixample,0,0,2,1,165,NA,41.385242,2.1597,44:23.9
22,14625071,8130906,Entire home/apt,NA,Sarrià-Sant Gervasi,0,0,7,4,336,NA,41.398776,2.151633,29:32.1
23,13661099,65888875,Private room,NA,Gràcia,3,5,2,1,43,NA,41.405332,2.159515,50:41.2
24,5311051,27215033,Entire home/apt,NA,Sarrià-Sant Gervasi,6,4.5,7,5,156,NA,41.410891,2.144853,04:04.9
25,617561,3039107,Entire home/apt,NA,Sarrià-Sant Gervasi,62,4,4,2,113,NA,41.393207,2.14504,11:43.0
26,10555485,54320669,Entire home/apt,NA,Sarrià-Sant Gervasi,11,4.5,10,4,425,NA,41.394116,2.13762,29:16.4
27,12928190,3743250,Entire home/apt,NA,Ciutat Vella,21,4,4,2,78,NA,41.377384,2.165507,29:31.9
28,15900739,5930088,Private room,NA,Eixample,2,0,2,1,40,NA,41.405636,2.180659,28:13.4
29,6496386,33957682,Private room,NA,Eixample,3,5,2,1,50,NA,41.382103,2.148525,18:21.3
30,11352245,5531455,Private room,NA,Eixample,0,0,2,1,33,NA,41.382905,2.148888,28:17.4
31,3888928,20117985,Private room,NA,Sants-Montjuïc,122,4.5,2,1,44,NA,41.372512,2.147666,46:27.4
32,17039209,114338664,Entire home/apt,NA,Gràcia,18,4.5,2,1,89,NA,41.401103,2.155751,30:25.1
33,1916806,1369675,Entire home/apt,NA,Gràcia,14,4,6,2,162,NA,41.397462,2.160252,00:42.9
34,17325551,24548058,Entire home/apt,NA,Sarrià-Sant Gervasi,0,0,8,3,224,NA,41.40757,2.146903,58:57.7
35,11124884,57805852,Entire home/apt,NA,Sant Martí,20,4,7,2,134,NA,41.390965,2.195593,27:08.5
36,537901,2015360,Entire home/apt,NA,Ciutat Vella,35,5,4,2,143,NA,41.384265,2.180339,27:30.2
37,16359991,105475956,Private room,NA,Sarrià-Sant Gervasi,2,0,2,1,44,NA,41.405394,2.147422,05:16.9
38,11645961,19317236,Private room,NA,Eixample,7,5,2,1,33,NA,41.388062,2.152095,04:50.0
39,16098997,104942864,Private room,NA,Ciutat Vella,3,4.5,2,1,23,NA,41.389163,2.177605,38:05.4
40,3353197,12702607,Entire home/apt,NA,Eixample,7,4,4,2,100,NA,41.393324,2.153746,34:13.4
41,4367220,5021580,Entire home/apt,NA,Sants-Montjuïc,4,3,4,1,83,NA,41.372819,2.166814,27:50.0
42,16794003,6179082,Entire home/apt,NA,Gràcia,10,4.5,2,1,41,NA,41.3999,2.159339,17:20.0
43,903712,4831362,Private room,NA,Eixample,54,4.5,2,1,72,NA,41.38497,2.159197,24:10.7
44,13462439,76953152,Entire home/apt,NA,Ciutat Vella,1,0,2,0,83,NA,41.385686,2.182339,20:33.2
45,13011987,31321818,Entire home/apt,NA,Sant Martí,0,0,2,1,72,NA,41.416435,2.194641,26:44.0
46,16022266,4085156,Entire home/apt,NA,Eixample,1,0,4,2,224,NA,41.382305,2.159609,59:19.2
47,35390,152232,Private room,NA,Eixample,66,5,1,4,33,NA,41.391467,2.151185,23:36.0
48,3496888,9937293,Entire home/apt,NA,Eixample,103,4.5,7,3,156,NA,41.396753,2.182569,56:06.0
49,1561333,1365436,Private room,NA,Sant Martí,7,4.5,2,1,40,NA,41.410239,2.188637,27:49.3
50,4546496,7576804,Entire home/apt,NA,Eixample,13,4.5,6,2,183,NA,41.39938,2.164869,59:44.3
51,975323,5314041,Private room,NA,Eixample,1,0,2,1,67,NA,41.392323,2.172301,25:31.5
52,2208080,2053965,Entire home/apt,NA,Eixample,31,5,4,2,191,NA,41.390416,2.159089,56:19.0
53,2288872,7285822,Entire home/apt,NA,Eixample,95,5,2,1,98,NA,41.404991,2.17502,19:48.9
54,2947094,15044839,Private room,NA,Eixample,21,4.5,2,1,33,NA,41.391701,2.17653,39:54.9
55,16954627,106981823,Entire home/apt,NA,Sants-Montjuïc,4,4,4,1,100,NA,41.366063,2.133308,50:45.3
56,8662756,22181646,Private room,NA,Ciutat Vella,16,4.5,2,1,37,NA,41.379361,2.177278,48:15.4
57,13956598,5904718,Private room,NA,Sants-Montjuïc,2,0,2,1,26,NA,41.375183,2.129699,55:15.8
58,7108039,180072,Entire home/apt,NA,Eixample,3,4,4,2,144,NA,41.398159,2.177509,29:02.6
59,15978726,57786531,Private room,NA,Sants-Montjuïc,2,0,2,1,111,NA,41.372685,2.165615,43:59.2
60,13820434,81143689,Private room,NA,Ciutat Vella,16,4,2,1,39,NA,41.380266,2.172197,48:44.6
61,1039211,5721224,Entire home/apt,NA,Sant Martí,34,4.5,5,2,123,NA,41.406998,2.203119,12:48.9
62,14044201,80832046,Private room,NA,Sant Martí,11,4,2,1,44,NA,41.415934,2.196293,47:36.8
63,8735605,3996198,Entire home/apt,NA,Sant Martí,53,4.5,4,3,167,NA,41.387991,2.198834,55:28.5
64,2091416,2150399,Private room,NA,Les Corts,86,4.5,2,1,39,NA,41.387836,2.141681,11:00.3
65,9684383,9466729,Entire home/apt,NA,Eixample,66,4.5,7,4,144,NA,41.381623,2.156641,31:09.1
66,14418755,75851770,Shared room,NA,Sant Martí,1,0,1,1,23,NA,41.417021,2.203066,59:32.1
67,722742,3548964,Entire home/apt,NA,Gràcia,101,5,5,2,115,NA,41.398514,2.15535,20:23.6
68,9906674,48848676,Private room,NA,Eixample,67,4.5,2,1,66,NA,41.390346,2.166444,23:57.4
69,10797041,41358759,Private room,NA,Ciutat Vella,9,5,1,1,30,NA,41.378097,2.173816,51:05.7
70,6657425,34844292,Entire home/apt,NA,Eixample,2,0,4,1,111,NA,41.407037,2.178703,13:05.9
