,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,5823226,23232697,Entire home/apt,NA,Grand Parc - Paul Doumer,16,5,4,2,108,NA,44.852161,-0.573915,39:38.3
2,17933024,122980813,Private room,NA,Victor Hugo - Saint-Augustin,0,0,2,1,38,NA,44.824126,-0.597942,34:32.8
3,15863996,17831049,Entire home/apt,NA,Victor Hugo - Saint-Augustin,9,5,2,1,61,NA,44.835282,-0.575045,04:38.3
4,17759038,97886337,Entire home/apt,NA,Bordeaux Sud,0,0,2,0,52,NA,44.826812,-0.558066,08:45.1
5,16721707,110837889,Entire home/apt,NA,Saint-Michel - Nansouty - Saint-Genès,2,0,2,1,77,NA,44.834313,-0.564212,53:11.4
6,9326971,48408228,Entire home/apt,NA,La Bastide,0,0,2,1,28,NA,44.840964,-0.555693,54:05.7
7,2492753,9382960,Entire home/apt,NA,Centre ville,15,4.5,4,2,176,NA,44.843082,-0.582329,43:53.2
8,13431338,76531404,Entire home/apt,NA,Centre ville,2,0,2,1,110,NA,44.84025,-0.57125,39:38.4
9,12754560,69377658,Entire home/apt,NA,Grand Parc - Paul Doumer,2,0,5,2,76,NA,44.849787,-0.571738,52:31.4
10,12674158,68863683,Private room,NA,Saint-Michel - Nansouty - Saint-Genès,6,4,2,1,35,NA,44.833277,-0.561647,30:36.0
11,5534102,26373513,Entire home/apt,NA,Bordeaux Maritime,0,0,2,1,33,NA,44.876048,-0.551895,54:07.8
12,13899838,82372919,Entire home/apt,NA,Victor Hugo - Saint-Augustin,3,4.5,2,0,35,NA,44.831609,-0.582335,54:09.5
13,9262538,11379759,Entire home/apt,NA,Centre ville,0,0,4,2,156,NA,44.848062,-0.587815,43:51.4
14,13894591,82309292,Entire home/apt,NA,Centre ville,9,4.5,4,1,39,NA,44.843197,-0.580091,56:02.4
15,5900050,28207618,Private room,NA,Saint-Michel - Nansouty - Saint-Genès,15,5,2,1,66,NA,44.823938,-0.584512,44:53.4
16,16249656,74198321,Private room,NA,Victor Hugo - Saint-Augustin,10,4,1,1,27,NA,44.832872,-0.584821,32:55.7
17,16108682,72691486,Entire home/apt,NA,Victor Hugo - Saint-Augustin,0,0,2,0,77,NA,44.836943,-0.567901,54:20.8
18,14549499,10639337,Private room,NA,Saint-Michel - Nansouty - Saint-Genès,3,5,2,1,41,NA,44.833821,-0.566291,52:38.4
19,7864603,11767554,Entire home/apt,NA,Victor Hugo - Saint-Augustin,101,4,4,1,60,NA,44.832546,-0.584522,59:29.4
20,15813960,5416316,Entire home/apt,NA,Victor Hugo - Saint-Augustin,4,5,2,1,65,NA,44.837751,-0.57102,51:39.6
21,12896937,70631976,Entire home/apt,NA,Victor Hugo - Saint-Augustin,8,4.5,8,4,224,NA,44.835307,-0.569803,44:22.2
22,13197228,72691486,Entire home/apt,NA,Centre ville,0,0,4,2,165,NA,44.842693,-0.578041,43:44.9
23,17506093,83159728,Private room,NA,Grand Parc - Paul Doumer,3,4,2,1,19,NA,44.852038,-0.575446,30:20.5
24,15323812,5279031,Entire home/apt,NA,Grand Parc - Paul Doumer,12,4.5,2,1,49,NA,44.847555,-0.579871,59:22.6
