,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,6622038,34658502,Private room,NA,Valby,2,0,1,1,39,NA,55.655113,12.489245,20:10.0
2,9936103,12977519,Entire home/apt,NA,Vesterbro-Kongens Enghave,9,4.5,4,0,60,NA,55.656588,12.534448,11:23.5
3,12212825,65689384,Entire home/apt,NA,Indre By,4,5,2,1,117,NA,55.687273,12.584996,46:09.9
4,8967319,16935814,Entire home/apt,NA,Indre By,6,4.5,2,1,149,NA,55.689884,12.57461,51:48.4
5,16265128,29721382,Entire home/apt,NA,Indre By,0,0,4,2,149,NA,55.678214,12.56992,53:24.1
6,1473232,7464228,Entire home/apt,NA,Østerbro,3,4.5,6,4,298,NA,55.713599,12.574152,44:01.6
7,8566349,45064902,Entire home/apt,NA,Nørrebro,9,5,2,1,106,NA,55.691506,12.557776,55:42.2
8,9726431,5372720,Entire home/apt,NA,Nørrebro,17,5,4,1,121,NA,55.697393,12.556029,55:09.3
9,11417944,59949216,Private room,NA,Amager Øst,2,0,1,1,41,NA,55.656587,12.637036,20:18.3
10,4741118,24370907,Entire home/apt,NA,Nørrebro,41,4.5,4,1,90,NA,55.696237,12.544227,35:49.8
11,3464910,6180260,Entire home/apt,NA,Nørrebro,17,4.5,2,1,60,NA,55.685659,12.55552,08:09.7
12,13663622,14752813,Entire home/apt,NA,Østerbro,7,4.5,2,1,69,NA,55.706874,12.578203,16:48.2
13,13492854,55002715,Entire home/apt,NA,Indre By,7,4.5,5,3,72,NA,55.69486,12.578433,16:51.6
14,13724188,80237067,Entire home/apt,NA,Vanløse,0,0,2,1,103,NA,55.679714,12.487617,09:45.6
15,11559454,5964706,Entire home/apt,NA,Nørrebro,0,0,7,3,142,NA,55.704297,12.551879,18:38.4
16,17209306,9433587,Entire home/apt,NA,Bispebjerg,1,0,4,1,73,NA,55.708857,12.534241,20:23.4
17,16142721,105332600,Entire home/apt,NA,Vesterbro-Kongens Enghave,0,0,2,1,121,NA,55.649514,12.523583,35:40.1
