,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,17427509,117892856,Entire home/apt,NA,Dublin city and suburbs,2,0,5,3,183,NA,53.321858,-6.278958,26:46.1
2,6653349,27833711,Private room,NA,Dublin city and suburbs,1,0,1,1,61,NA,53.392691,-6.226345,53:32.9
3,17151192,8701039,Private room,NA,Dublin city and suburbs,0,0,2,1,134,NA,53.402134,-6.251906,39:45.4
4,9649088,49884180,Entire home/apt,NA,Dublin city and suburbs,1,0,2,1,78,NA,53.28031,-6.243161,04:13.7
5,13423317,19749433,Entire home/apt,NA,Dublin city and suburbs,39,4.5,5,2,111,NA,53.34425,-6.269462,08:21.7
6,13750546,80556812,Private room,NA,Dublin city and suburbs,3,4.5,2,1,73,NA,53.344941,-6.264728,22:37.0
7,17620284,42783799,Entire home/apt,NA,Dublin city and suburbs,0,0,6,3,445,NA,53.336456,-6.287125,44:48.5
8,17841083,94937057,Private room,NA,Dublin city and suburbs,0,0,2,1,31,NA,53.342551,-6.259689,48:33.5
9,14906238,34135960,Entire home/apt,NA,Dublin city and suburbs,2,0,4,2,177,NA,53.30299,-6.199722,26:49.5
10,12260195,19039332,Entire home/apt,NA,Dublin city and suburbs,0,0,3,1,123,NA,53.334359,-6.246622,09:01.4
11,11620981,59647114,Private room,NA,Dublin city and suburbs,24,4.5,2,1,59,NA,53.370322,-6.201881,52:02.6
12,5204265,26921780,Private room,NA,Dublin city and suburbs,0,0,1,1,67,NA,53.352606,-6.264818,22:41.1
13,13341817,66952878,Private room,NA,Dublin city and suburbs,9,5,1,1,72,NA,53.351995,-6.297569,23:08.0
14,12123905,45524866,Entire home/apt,NA,Dublin city and suburbs,20,4.5,6,2,501,NA,53.340276,-6.255226,44:43.6
15,6525773,17593300,Private room,NA,Dublin city and suburbs,4,5,2,1,100,NA,53.339395,-6.235479,36:50.5
16,6858441,35844289,Private room,NA,Dublin city and suburbs,87,4,3,1,82,NA,53.346975,-6.267343,20:06.8
17,11994346,4592908,Private room,NA,Dublin city and suburbs,0,0,2,1,44,NA,53.366356,-6.207754,52:28.2
18,16224304,106014070,Entire home/apt,NA,Dublin city and suburbs,20,4.5,4,2,167,NA,53.341415,-6.239494,23:06.7
19,13729635,38826397,Private room,NA,Dublin city and suburbs,19,4.5,2,1,72,NA,53.351417,-6.249041,20:01.0
20,14837621,35260244,Private room,NA,Dublin city and suburbs,20,4,2,1,67,NA,53.352844,-6.254223,20:27.6
21,11926900,27441296,Entire home/apt,NA,Dublin city and suburbs,0,0,1,1,100,NA,53.338724,-6.235392,05:04.2
22,16616922,45972649,Entire home/apt,NA,Dublin city and suburbs,1,0,5,3,222,NA,53.277524,-6.123338,44:05.0
23,16968425,70154490,Entire home/apt,NA,Dublin city and suburbs,0,0,16,4,278,NA,53.343097,-6.294179,40:29.4
24,17327651,109821624,Private room,NA,Dublin city and suburbs,0,0,1,1,56,NA,53.398736,-6.172511,51:57.9
25,7673889,10913161,Private room,NA,Dublin city and suburbs,7,3.5,2,1,77,NA,53.351552,-6.250207,20:20.3
26,9507432,49266120,Private room,NA,Dublin city and suburbs,45,4.5,2,1,68,NA,53.329454,-6.297595,20:05.4
27,4980584,25675566,Entire home/apt,NA,Dublin city and suburbs,6,5,6,4,183,NA,53.285407,-6.133723,26:51.0
28,9752642,50288226,Entire home/apt,NA,Dublin city and suburbs,0,0,4,2,445,NA,53.342632,-6.247455,44:51.4
29,11196858,9438556,Private room,NA,Dublin city and suburbs,16,5,2,1,200,NA,53.401981,-6.237088,39:54.4
30,15696557,66434909,Entire home/apt,NA,Dublin city and suburbs,5,5,4,2,89,NA,53.379654,-6.290744,05:28.1
31,17680658,48189926,Entire home/apt,NA,Dublin city and suburbs,0,0,6,3,94,NA,53.295964,-6.137782,04:33.7
32,6852402,31991504,Private room,NA,Dublin city and suburbs,1,0,2,1,44,NA,53.284201,-6.233414,57:46.3
33,11597924,61268690,Private room,NA,Dublin city and suburbs,20,5,2,1,67,NA,53.359397,-6.291252,22:03.6
34,12726959,9874959,Entire home/apt,NA,Dublin city and suburbs,19,4.5,7,2,222,NA,53.352515,-6.254289,40:24.0
35,15965198,52560829,Entire home/apt,NA,Dublin city and suburbs,0,0,6,2,136,NA,53.364175,-6.246154,19:18.9
36,10948722,28829674,Entire home/apt,NA,Dublin city and suburbs,8,5,4,2,222,NA,53.300127,-6.220285,43:17.1
37,17413716,45578537,Private room,NA,Dublin city and suburbs,0,0,2,1,58,NA,53.339285,-6.274597,56:22.6
38,15894521,18860421,Entire home/apt,NA,Dublin city and suburbs,0,0,2,1,100,NA,53.329149,-6.263362,05:03.0
39,16780333,111453099,Entire home/apt,NA,Dublin city and suburbs,0,0,2,1,61,NA,53.373796,-6.199117,03:57.3
40,16764168,4957907,Entire home/apt,NA,Dublin city and suburbs,1,0,6,2,123,NA,53.361714,-6.237978,08:57.4
41,11436734,59581527,Private room,NA,Dublin city and suburbs,0,0,2,1,110,NA,53.326345,-6.254512,39:33.7
42,13671489,11228630,Private room,NA,Dublin city and suburbs,3,4.5,2,1,47,NA,53.349719,-6.269214,56:04.3
43,4294854,22295110,Private room,NA,Dublin city and suburbs,112,4.5,2,1,78,NA,53.349535,-6.270197,20:13.4
44,13829328,3198678,Private room,NA,Dublin city and suburbs,2,0,2,1,111,NA,53.334851,-6.243302,39:39.7
45,17503914,68979559,Private room,NA,Dublin city and suburbs,0,0,2,1,56,NA,53.350769,-6.230559,53:52.7
46,2853443,13252301,Entire home/apt,NA,Dublin city and suburbs,7,4.5,2,1,112,NA,53.317376,-6.21871,09:00.0
47,13710791,61310987,Private room,NA,Dublin city and suburbs,5,4.5,2,1,58,NA,53.337351,-6.275778,51:26.6
48,13522124,68350233,Entire home/apt,NA,Dublin city and suburbs,4,5,5,2,206,NA,53.350395,-6.264743,40:01.7
49,6527241,34137284,Entire home/apt,NA,Dublin city and suburbs,3,4,2,1,116,NA,53.342147,-6.236857,08:56.0
50,17562361,57056182,Private room,NA,Dublin city and suburbs,1,0,2,1,167,NA,53.344264,-6.273467,39:47.7
51,15726888,101343667,Entire home/apt,NA,Dublin city and suburbs,12,5,2,1,99,NA,53.356713,-6.269746,04:17.6
52,3009793,790601,Entire home/apt,NA,Dublin city and suburbs,8,4.5,2,0,78,NA,53.337196,-6.323278,04:16.4
53,1544267,4502026,Private room,NA,Dublin city and suburbs,151,5,3,1,56,NA,53.366309,-6.214775,52:18.4
54,17839788,79260517,Entire home/apt,NA,Dublin city and suburbs,0,0,2,2,39,NA,53.342254,-6.237048,03:46.6
55,7630788,262875,Entire home/apt,NA,Dublin city and suburbs,12,4.5,4,2,155,NA,53.347296,-6.262223,23:49.0
56,17623064,28033316,Private room,NA,Dublin city and suburbs,1,0,2,1,111,NA,53.340669,-6.296467,39:38.7
57,14033930,6936433,Private room,NA,Dublin city and suburbs,10,5,2,1,61,NA,53.327785,-6.254089,55:59.6
58,4428939,22849543,Private room,NA,Dublin city and suburbs,82,4,2,1,56,NA,53.356651,-6.259133,52:03.5
59,9217923,44044711,Private room,NA,Dublin city and suburbs,71,4.5,2,1,61,NA,53.33874,-6.279224,51:31.3
60,17748406,104376016,Private room,NA,Dublin city and suburbs,0,0,2,1,37,NA,53.370636,-6.324741,49:02.9
61,4603955,7247046,Entire home/apt,NA,Dublin city and suburbs,25,5,6,3,250,NA,53.376566,-6.263769,40:54.3
62,15856912,102758329,Private room,NA,Dublin city and suburbs,4,5,2,1,65,NA,53.319042,-6.384055,27:16.2
63,10280692,51534404,Entire home/apt,NA,Dublin city and suburbs,0,0,4,2,125,NA,53.347459,-6.277887,18:46.2
64,17629005,36928211,Private room,NA,Dublin city and suburbs,0,0,1,1,37,NA,53.416255,-6.385195,49:10.2
