,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,390884,1954991,Private room,Waltham Forest,Cann Hall,1,0,1,1,54,NA,51.554096,0.007171,13:23.8
2,12185229,2006193,Private room,Richmond upon Thames,Kew,32,5,2,1,46,NA,51.477252,-0.289689,40:00.4
3,9731220,7167719,Entire home/apt,Camden,Hampstead Town,0,0,6,5,384,NA,51.552353,-0.172948,13:47.5
4,8880918,37423294,Shared room,Greenwich,Thamesmead Moorings,8,4.5,5,1,25,NA,51.501541,0.117879,32:12.7
5,14566593,19614561,Private room,Lambeth,Thornton,0,0,2,1,42,NA,51.453735,-0.130878,16:53.5
6,11316144,59179502,Private room,Southwark,Village,8,5,2,1,58,NA,51.450619,-0.099232,10:44.5
7,2976476,8568942,Entire home/apt,Southwark,Brunswick Park,86,4.5,4,2,155,NA,51.479864,-0.083632,46:30.9
8,17314564,104507582,Private room,Ealing,East Acton,0,0,2,1,58,NA,51.514587,-0.259291,13:34.8
9,2190001,8852092,Private room,Greenwich,Blackheath Westcombe,24,5,2,1,58,NA,51.481541,0.005992,17:13.5
10,16138859,46267717,Private room,Wandsworth,Shaftesbury,0,0,2,1,127,NA,51.463555,-0.154231,35:34.0
11,7796925,34768731,Private room,Haringey,Stroud Green,27,5,2,1,70,NA,51.573969,-0.113501,32:25.3
12,11294772,7233619,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,23,5,4,1,180,NA,51.501036,-0.227658,42:03.0
13,9544332,47045106,Entire home/apt,Richmond upon Thames,West Twickenham,12,5,4,2,186,NA,51.439041,-0.372739,58:41.2
14,12400827,14875410,Private room,Westminster,Lancaster Gate,16,5,4,2,167,NA,51.513574,-0.179608,39:02.2
15,8747240,21772653,Shared room,Westminster,St. James's,0,0,1,1,36,NA,51.512634,-0.117717,32:16.9
