,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,7703640,6282893,Entire home/apt,Centro,Sol,28,5,6,2,143,NA,40.415909,-3.705965,49:36.3
2,6198853,8955953,Entire home/apt,Tetuan,Berruguete,11,4.5,4,2,88,NA,40.459815,-3.701713,08:03.2
3,8937265,30456006,Entire home/apt,Ciudad Lineal,Colina,7,4.5,2,0,55,NA,40.456161,-3.660913,25:42.4
4,3203539,16234034,Entire home/apt,Centro,Universidad,12,4.5,7,5,99,NA,40.423715,-3.705235,11:09.5
5,6568756,30696902,Entire home/apt,Carabanchel,Opañel,93,5,6,3,93,NA,40.39732,-3.715771,25:19.3
6,8961749,33307385,Entire home/apt,Retiro,Adelfas,3,4.5,2,1,66,NA,40.402456,-3.66917,55:14.4
7,4202733,16509221,Entire home/apt,Salamanca,Guindalera,16,4.5,8,4,198,NA,40.437446,-3.672185,47:11.2
8,14018550,29518293,Entire home/apt,Centro,Justicia,4,4.5,4,1,60,NA,40.42512,-3.698965,34:47.0
9,6847474,35233656,Entire home/apt,Centro,Embajadores,73,3.5,3,2,49,NA,40.409403,-3.696466,29:47.4
10,14233164,41739619,Entire home/apt,Chamartin,Hispanoamérica,3,5,4,1,132,NA,40.454501,-3.6847,49:37.2
11,7048202,36959550,Private room,Arganzuela,Palos de Moguer,6,4.5,2,1,23,NA,40.401929,-3.695879,49:40.4
12,10819904,56019200,Private room,Tetuan,Berruguete,0,0,2,1,49,NA,40.457203,-3.709118,48:26.6
13,16856445,40877988,Entire home/apt,Centro,Universidad,5,5,5,2,82,NA,40.423018,-3.701616,57:39.1
14,8694208,40180607,Entire home/apt,Ciudad Lineal,Ventas,3,4.5,4,2,28,NA,40.419387,-3.651836,21:51.3
15,15016564,94778559,Private room,Arganzuela,Chopera,0,0,1,1,12,NA,40.394821,-3.696869,48:07.6
16,11128281,43604846,Entire home/apt,Centro,Palacio,63,5,4,2,74,NA,40.419035,-3.711782,43:14.9
17,13091807,21137168,Private room,Centro,Universidad,1,0,2,2,38,NA,40.426694,-3.707727,04:56.0
18,13448215,76682878,Private room,Retiro,Adelfas,4,4.5,2,1,46,NA,40.404759,-3.669628,56:16.2
19,16564631,108977461,Entire home/apt,Tetuan,Cuatro Caminos,0,0,4,2,178,NA,40.453537,-3.699073,03:03.6
20,13344738,75608415,Entire home/apt,Centro,Justicia,23,5,2,0,76,NA,40.42213,-3.700504,39:32.9
21,9592505,24320301,Entire home/apt,Villa de Vallecas,Casco Histórico de Vallecas,0,0,3,2,28,NA,40.364173,-3.600091,22:41.7
22,5009358,22003153,Private room,Latina,Lucero,0,0,2,1,19,NA,40.40262,-3.760339,40:43.4
23,11597223,37291567,Entire home/apt,Centro,Sol,4,4.5,8,3,193,NA,40.416833,-3.707116,47:19.3
24,12350839,54310958,Entire home/apt,Centro,Justicia,4,4.5,4,2,93,NA,40.42339,-3.696755,06:20.0
25,1874165,3688649,Private room,Moncloa,Argüelles,105,4.5,2,1,29,NA,40.430712,-3.718371,05:43.0
26,17427972,4897966,Entire home/apt,Chamartin,Hispanoamérica,0,0,4,2,108,NA,40.453763,-3.67123,01:21.1
27,10396549,29328409,Entire home/apt,Centro,Sol,69,4.5,4,0,76,NA,40.415445,-3.704989,38:44.9
28,14054198,7998198,Private room,Centro,Justicia,2,0,2,1,71,NA,40.420499,-3.698451,15:22.4
29,10275785,52847482,Entire home/apt,Moncloa,Argüelles,1,0,4,1,148,NA,40.421699,-3.715558,59:10.9
30,15156610,96151673,Entire home/apt,Centro,Palacio,1,0,2,1,115,NA,40.421012,-3.707141,58:12.8
31,5962564,5542111,Entire home/apt,Centro,Universidad,46,4.5,3,1,50,NA,40.424773,-3.708683,24:59.6
32,1087049,2044655,Entire home/apt,Centro,Embajadores,46,5,8,3,252,NA,40.413254,-3.705527,49:52.4
33,9476417,7827973,Entire home/apt,Chamberi,Rios Rosas,5,5,3,2,76,NA,40.446452,-3.702691,40:39.3
34,15842273,101337575,Private room,Moncloa,Argüelles,5,3.5,2,1,31,NA,40.427483,-3.718771,04:49.0
35,13226641,45543320,Entire home/apt,Centro,Palacio,60,4.5,6,2,87,NA,40.409011,-3.711223,04:53.2
36,15443345,34175878,Private room,Centro,Sol,18,5,2,1,34,NA,40.41918,-3.700283,20:26.9
37,12406134,67084707,Private room,Tetuan,Cuatro Caminos,11,5,1,1,23,NA,40.447713,-3.701248,52:26.9
38,17357741,741885,Entire home/apt,Centro,Universidad,4,5,4,2,99,NA,40.425985,-3.712655,07:06.5
39,17317923,14032635,Entire home/apt,Tetuan,Bellas Vistas,0,0,2,1,76,NA,40.451371,-3.707714,42:49.7
40,11077428,5542111,Entire home/apt,Centro,Universidad,53,4,8,4,121,NA,40.421273,-3.706437,57:32.1
41,15711191,6365055,Entire home/apt,Centro,Palacio,12,5,4,1,60,NA,40.410413,-3.711636,40:40.7
42,4437209,757234,Entire home/apt,Moncloa,Argüelles,20,5,2,1,165,NA,40.421901,-3.714068,56:51.4
43,15672343,12714980,Private room,Arganzuela,Palos de Moguer,0,0,1,1,99,NA,40.402143,-3.693223,39:30.4
44,16212974,103831896,Private room,Centro,Embajadores,8,4.5,2,1,28,NA,40.410258,-3.701967,20:18.5
45,16463952,54310958,Entire home/apt,Centro,Sol,0,0,2,1,96,NA,40.417413,-3.707792,16:34.5
46,15976805,96795800,Entire home/apt,Chamberi,Almagro,0,0,3,1,103,NA,40.434922,-3.691817,13:10.0
47,16270375,33633793,Private room,Chamberi,Almagro,0,0,1,4,29,NA,40.435368,-3.693241,56:28.2
48,15560522,45543320,Entire home/apt,Centro,Sol,35,5,4,1,97,NA,40.418971,-3.707798,04:09.7
49,7396405,37291567,Entire home/apt,Centro,Sol,1,0,4,1,115,NA,40.416876,-3.707978,08:16.7
50,15498740,9719016,Entire home/apt,Chamartin,El Viso,10,4.5,5,2,97,NA,40.451008,-3.688544,06:51.3
51,17460451,695392,Entire home/apt,Centro,Justicia,0,0,4,3,73,NA,40.422832,-3.692224,40:14.6
52,8517585,17979672,Entire home/apt,Hortaleza,Palomas,28,5,5,1,75,NA,40.452995,-3.61079,39:52.8
53,15263013,48927615,Entire home/apt,Centro,Embajadores,15,4.5,3,1,49,NA,40.409649,-3.699432,44:29.1
54,13898576,31191634,Entire home/apt,Centro,Universidad,2,0,2,0,43,NA,40.420573,-3.706212,38:39.9
55,13303778,75150135,Private room,Chamberi,Gaztambide,4,5,1,10,43,NA,40.434303,-3.716005,50:57.3
56,17363438,13723991,Entire home/apt,Centro,Embajadores,2,0,2,0,65,NA,40.407514,-3.699782,00:05.5
57,14504362,79713939,Private room,Arganzuela,Delicias,11,4.5,2,1,28,NA,40.394433,-3.693957,55:57.4
58,7649181,40137475,Entire home/apt,Puente de Vallecas,Numancia,74,4,4,1,43,NA,40.402272,-3.665189,39:00.5
59,13383398,76077977,Private room,Centro,Sol,0,0,2,1,164,NA,40.415499,-3.704365,39:52.1
60,15994331,54310958,Entire home/apt,Centro,Embajadores,4,5,4,0,146,NA,40.412339,-3.703593,57:01.1
61,7816085,41148505,Entire home/apt,Centro,Cortes,68,4.5,2,0,76,NA,40.415176,-3.700643,44:06.3
62,6890860,29149021,Entire home/apt,Centro,Palacio,0,0,4,2,198,NA,40.41189,-3.713339,47:03.2
63,13923066,31143239,Entire home/apt,Centro,Justicia,7,5,2,1,93,NA,40.424005,-3.700297,36:56.5
