,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,1474324,7891155,Entire home/apt,NA,AN,16,4.5,7,3,167,NA,43.704206,7.3226,38:56.3
2,14151973,85509860,Entire home/apt,NA,LD,0,0,4,1,89,NA,43.702789,7.275535,51:06.9
3,5209243,26948375,Entire home/apt,NA,KO,71,4.5,2,1,45,NA,43.700724,7.284536,51:51.9
4,12187239,65223492,Entire home/apt,NA,NH,24,4.5,2,0,83,NA,43.685694,7.234791,11:21.9
5,14780221,10174825,Entire home/apt,NA,AC,0,0,2,1,89,NA,43.773306,7.193841,12:04.1
6,7275935,165262,Entire home/apt,NA,KW,0,0,4,1,72,NA,43.697146,7.254628,42:12.2
7,16419922,107568662,Entire home/apt,NA,KH,0,0,4,1,200,NA,43.686238,7.298106,42:55.6
8,14835353,39812775,Entire home/apt,NA,KW,2,0,4,1,56,NA,43.696334,7.254053,05:08.2
9,14564138,8990014,Entire home/apt,NA,LT,0,0,2,1,55,NA,43.710071,7.261694,57:26.6
10,17535585,118939914,Entire home/apt,NA,AX,2,0,4,2,158,NA,43.741188,7.32509,38:57.3
11,15278005,97217588,Entire home/apt,NA,LA,0,0,2,0,61,NA,43.701843,7.263182,51:04.2
12,5880967,28794452,Entire home/apt,NA,LC,10,4.5,6,2,85,NA,43.701099,7.269767,49:03.2
13,7235275,37882220,Entire home/apt,NA,NW,8,4.5,2,0,33,NA,43.680919,7.229407,46:50.8
14,9357414,47849000,Entire home/apt,NA,KS,29,4.5,2,0,67,NA,43.69549,7.277071,24:22.1
15,17953166,34531695,Entire home/apt,NA,KV,0,0,2,0,25,NA,43.695873,7.257281,46:39.2
16,6978772,36595353,Entire home/apt,NA,MR,0,0,5,3,133,NA,43.694778,7.241061,38:24.6
17,12761242,26622801,Entire home/apt,NA,KY,14,4.5,2,0,66,NA,43.699904,7.262201,22:04.3
18,9983855,51299232,Entire home/apt,NA,IM,1,0,4,0,37,NA,43.716547,7.291765,46:55.4
19,4612017,23479367,Private room,NA,KO,5,5,1,1,26,NA,43.699462,7.284019,35:14.7
20,11859572,56029943,Entire home/apt,NA,MO,0,0,5,2,200,NA,43.691018,7.2451,42:58.0
21,17519707,118782596,Entire home/apt,NA,LB,0,0,2,0,95,NA,43.702506,7.269399,51:52.0
22,12023777,63565677,Entire home/apt,NA,IZ,47,4.5,4,1,105,NA,43.700277,7.287675,08:40.8
23,12016604,63689038,Entire home/apt,NA,KO,1,0,4,2,72,NA,43.700342,7.284799,23:12.4
24,11938295,46833149,Entire home/apt,NA,LH,8,4,2,0,50,NA,43.707278,7.279486,52:13.7
25,3854301,1405595,Entire home/apt,NA,KV,0,0,2,0,144,NA,43.694555,7.258231,36:07.0
26,17160667,36785375,Entire home/apt,NA,AV,0,0,3,1,123,NA,43.70469,7.306842,08:58.9
27,15992849,103940960,Entire home/apt,NA,LB,32,5,4,0,42,NA,43.70589,7.267538,54:21.1
28,2668758,13661150,Entire home/apt,NA,KS,55,5,2,1,222,NA,43.695023,7.271371,43:04.9
29,15466941,24378312,Entire home/apt,NA,LV,0,0,2,1,67,NA,43.714025,7.257718,29:28.9
30,3027166,15420538,Entire home/apt,NA,KN,52,4.5,2,0,87,NA,43.699175,7.280352,49:57.0
31,11819810,61086996,Entire home/apt,NA,KT,8,4,3,0,100,NA,43.694999,7.26455,00:51.3
32,17315346,116848952,Entire home/apt,NA,KO,0,0,2,1,78,NA,43.698942,7.286792,22:57.8
33,324216,1659508,Entire home/apt,NA,LB,0,0,2,1,111,NA,43.704702,7.272426,11:52.1
34,7130208,36226851,Entire home/apt,NA,AV,1,0,4,1,44,NA,43.667459,7.181233,02:23.2
35,986040,5410683,Entire home/apt,NA,IY,5,5,4,2,132,NA,43.701727,7.288602,34:48.5
36,11839282,33793768,Entire home/apt,NA,IO,2,0,2,0,26,NA,43.717195,7.286124,47:00.3
37,13411692,26931118,Entire home/apt,NA,KS,1,0,4,2,99,NA,43.695954,7.276376,51:14.2
38,6595476,34504655,Entire home/apt,NA,ED,2,0,5,3,100,NA,43.722219,7.252085,55:34.5
39,681480,3476559,Entire home/apt,NA,KR,0,0,2,1,89,NA,43.696302,7.277229,52:51.5
40,2665982,13645191,Entire home/apt,NA,MO,0,0,3,0,167,NA,43.693416,7.2495,39:16.9
41,10914061,56569762,Entire home/apt,NA,KV,0,0,5,2,100,NA,43.696135,7.260705,00:47.3
42,13952057,83062109,Entire home/apt,NA,KX,0,0,4,1,71,NA,43.699277,7.254835,29:02.2
43,8585437,45184163,Entire home/apt,NA,KY,14,4.5,4,0,67,NA,43.700435,7.25731,22:08.0
44,73085,225548,Entire home/apt,NA,KV,105,5,4,1,70,NA,43.694378,7.261358,22:25.5
45,6366149,32031534,Entire home/apt,NA,MP,28,4.5,4,0,56,NA,43.690743,7.244669,09:03.2
46,6808202,34726402,Private room,NA,IW,10,5,2,1,67,NA,43.707535,7.291786,42:06.4
47,6184217,26375275,Entire home/apt,NA,MP,3,4.5,3,0,78,NA,43.693585,7.241064,43:13.6
48,13678096,79606709,Entire home/apt,NA,NE,0,0,2,0,44,NA,43.68893,7.239404,15:24.4
49,7227383,16579117,Entire home/apt,NA,IY,27,4.5,2,0,44,NA,43.702849,7.291398,52:04.6
50,5604573,20225357,Entire home/apt,NA,KA,8,4.5,4,2,133,NA,43.701075,7.300435,35:02.1
51,6809840,35647216,Entire home/apt,NA,LE,13,5,2,0,82,NA,43.704328,7.277748,25:14.3
52,17820143,117785871,Entire home/apt,NA,NO,0,0,6,2,172,NA,43.682152,7.216629,42:31.3
53,16238239,34596143,Entire home/apt,NA,LO,1,0,4,2,111,NA,43.712204,7.258986,09:02.4
54,13041480,21639739,Entire home/apt,NA,0B,0,0,8,4,244,NA,43.759438,7.176941,46:58.9
55,1057609,5825020,Entire home/apt,NA,LE,27,4.5,5,2,123,NA,43.706081,7.271166,10:58.9
56,757429,3689308,Entire home/apt,NA,KR,61,5,4,1,105,NA,43.696322,7.276658,10:15.2
57,1261940,3049334,Entire home/apt,NA,MH,14,4.5,4,1,50,NA,43.704723,7.255882,04:40.1
58,13509670,74637122,Entire home/apt,NA,MN,0,0,2,1,67,NA,43.699726,7.247381,42:36.8
59,13708493,80026157,Entire home/apt,NA,LB,0,0,2,1,72,NA,43.70491,7.270915,24:17.8
60,6440538,31386142,Entire home/apt,NA,IV,6,4.5,6,1,95,NA,43.707542,7.293316,50:13.6
61,14344263,87872818,Entire home/apt,NA,KM,2,0,4,1,89,NA,43.697615,7.286152,50:29.3
62,12848009,70170611,Entire home/apt,NA,MP,8,4.5,2,0,63,NA,43.690679,7.243504,43:09.1
63,16234806,106109578,Entire home/apt,NA,LO,4,4.5,2,0,33,NA,43.710766,7.259036,46:52.0
64,1187920,6495928,Entire home/apt,NA,KT,48,5,6,2,110,NA,43.695209,7.264417,09:04.9
65,13685530,78501281,Entire home/apt,NA,KO,0,0,3,1,66,NA,43.699124,7.286925,23:16.2
66,17236084,116101184,Entire home/apt,NA,KL,3,4.5,4,1,44,NA,43.696072,7.28688,51:54.5
67,17377930,22919233,Private room,NA,NI,0,0,2,2,38,NA,43.6863,7.225815,38:42.6
68,7270567,38067404,Entire home/apt,NA,IR,1,0,4,1,87,NA,43.71182,7.294727,49:21.2
69,2255436,11517782,Entire home/apt,NA,LT,18,5,4,1,87,NA,43.70893,7.262586,55:00.1
70,3495770,17600600,Entire home/apt,NA,LB,10,4.5,6,2,100,NA,43.705905,7.266263,58:43.2
71,5035844,7717664,Entire home/apt,NA,KV,2,0,2,0,83,NA,43.696979,7.25836,02:10.6
72,17457304,84969354,Entire home/apt,NA,KW,0,0,5,3,78,NA,43.695893,7.253367,35:43.2
73,13503907,64880719,Entire home/apt,NA,NH,0,0,6,2,139,NA,43.683635,7.232375,38:05.4
74,13744595,33793768,Entire home/apt,NA,HD,1,0,2,0,39,NA,43.722572,7.286205,48:07.2
75,15127886,50973106,Entire home/apt,NA,NE,0,0,4,2,89,NA,43.686732,7.234751,11:32.1
76,3490589,17578762,Entire home/apt,NA,KR,1,0,4,2,87,NA,43.696911,7.278102,52:48.0
77,9000603,47007570,Entire home/apt,NA,KY,0,0,4,1,72,NA,43.700617,7.258554,35:01.7
78,12379875,66909203,Private room,NA,KN,2,0,2,1,105,NA,43.699427,7.28085,42:13.8
79,17776541,59560962,Private room,NA,LT,0,0,2,1,25,NA,43.708091,7.257335,34:15.6
80,13965654,83235796,Entire home/apt,NA,DK,0,0,4,1,56,NA,43.735387,7.233663,51:45.4
81,17005844,18809378,Entire home/apt,NA,HB,8,5,3,0,44,NA,43.721569,7.27055,51:25.2
82,16513021,93056003,Entire home/apt,NA,NR,0,0,2,0,44,NA,43.675424,7.220616,30:46.6
83,7431573,38926669,Entire home/apt,NA,KL,0,0,4,1,89,NA,43.697111,7.288094,51:40.2
84,17081482,12216379,Entire home/apt,NA,NK,0,0,4,1,56,NA,43.689275,7.217441,30:09.7
85,14273351,87034458,Private room,NA,MP,0,0,3,1,61,NA,43.692274,7.240735,39:16.9
86,7234503,37878283,Private room,NA,ND,8,5,3,1,74,NA,43.688395,7.234092,41:55.3
87,16849760,112209802,Entire home/apt,NA,KS,3,4.5,4,2,83,NA,43.696063,7.276488,50:37.9
88,13085265,6073585,Entire home/apt,NA,KI,2,0,4,2,500,NA,43.690707,7.294216,44:33.2
89,8348348,42751829,Entire home/apt,NA,BE,1,0,4,1,31,NA,43.684833,7.182744,50:44.0
90,16817039,7894983,Entire home/apt,NA,NH,0,0,3,1,72,NA,43.682921,7.231302,22:04.3
91,12483857,67576628,Entire home/apt,NA,EB,0,0,4,1,56,NA,43.718338,7.252764,58:13.5
92,9622850,13180877,Private room,NA,LC,0,0,3,1,78,NA,43.699255,7.274128,41:56.9
