,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,13893107,82294623,Entire home/apt,NA,Bel-Air,0,0,4,1,44,NA,48.835317,2.405903,54:08.8
2,15783306,101513541,Entire home/apt,NA,Epinettes,0,0,2,1,67,NA,48.894306,2.325331,42:39.0
3,6620777,25906079,Entire home/apt,NA,Halles,37,5,6,3,313,NA,48.863641,2.346086,30:21.5
4,6062960,10759199,Shared room,NA,Saint-Vincent-de-Paul,44,5,2,1,39,NA,48.876871,2.35631,15:18.2
5,1418831,7627322,Entire home/apt,NA,Belleville,12,4.5,2,1,73,NA,48.87391,2.39165,48:16.7
6,14383284,88314177,Entire home/apt,NA,Gare,0,0,2,1,50,NA,48.825674,2.375071,32:22.1
7,11558890,2426733,Entire home/apt,NA,Jardin-des-Plantes,20,4.5,3,2,134,NA,48.839451,2.352871,34:06.1
8,770109,4062715,Entire home/apt,NA,La Chapelle,0,0,4,1,73,NA,48.890117,2.361118,37:40.4
9,6985176,36622827,Entire home/apt,NA,Saint-Victor,3,4,2,0,56,NA,48.849262,2.353613,05:05.6
10,13853285,430161,Entire home/apt,NA,Saint-Vincent-de-Paul,0,0,2,2,90,NA,48.883584,2.362666,48:52.4
11,8569158,6784955,Entire home/apt,NA,Bonne-Nouvelle,74,5,2,0,67,NA,48.868562,2.348974,13:58.3
12,102859,537081,Entire home/apt,NA,Archives,3,5,4,1,168,NA,48.859091,2.364122,23:10.6
13,4326620,1835960,Entire home/apt,NA,Odeon,0,0,5,3,950,NA,48.843962,2.335965,44:38.5
14,5699102,10009204,Entire home/apt,NA,Grandes-Carrières,93,4.5,2,1,101,NA,48.88574,2.336385,53:10.2
15,11698527,62170731,Shared room,NA,Plaisance,15,4.5,1,1,32,NA,48.825151,2.31213,15:21.2
16,2551669,13056274,Entire home/apt,NA,Grandes-Carrières,4,5,4,1,157,NA,48.887553,2.333025,23:30.1
17,3110330,15807958,Entire home/apt,NA,Amérique,2,0,6,3,235,NA,48.880261,2.395912,10:54.1
18,4772373,2533249,Entire home/apt,NA,Belleville,4,4.5,4,2,95,NA,48.873227,2.389141,55:56.0
19,543012,2669861,Entire home/apt,NA,Goutte-dOr,18,4,4,1,46,NA,48.885431,2.357003,02:26.6
20,1115426,6121958,Entire home/apt,NA,Sorbonne,70,4.5,2,1,117,NA,48.850497,2.344886,56:23.0
21,12173047,65397099,Entire home/apt,NA,Grenelle,2,0,2,0,56,NA,48.847908,2.284834,26:53.9
22,3716068,18970486,Entire home/apt,NA,Javel 15Art,35,4.5,4,1,67,NA,48.838335,2.282045,47:46.1
23,16764298,61997981,Private room,NA,Porte-Dauphine,4,4.5,2,1,35,NA,48.868632,2.278817,13:33.5
24,16016470,1340866,Entire home/apt,NA,Arts-et-Metiers,3,4,4,2,140,NA,48.865162,2.358372,19:06.4
25,5877437,13013633,Entire home/apt,NA,St-Germain-lAuxerrois,19,5,4,2,232,NA,48.858534,2.347217,09:22.6
26,8108374,37209699,Entire home/apt,NA,Grenelle,14,4.5,2,1,90,NA,48.851719,2.297523,41:01.0
27,1839121,2213610,Entire home/apt,NA,Gros-Caillou,78,5,2,0,95,NA,48.856405,2.307519,22:34.6
