,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1,6081484,31566651,Private room,NA,XI Municipio,2,0,2,1,83,NA,41.866415,12.485298,10:56.1
2,9916275,14038231,Entire home/apt,NA,XVI Municipio,6,5,4,1,61,NA,41.876167,12.468228,10:01.9
3,10826923,17817526,Private room,NA,XVI Municipio,0,0,2,1,56,NA,41.853534,12.436191,57:10.8
4,5888995,3513800,Entire home/apt,NA,IX Municipio,6,5,6,3,100,NA,41.879529,12.512534,22:19.6
5,2692393,464660,Entire home/apt,NA,III Municipio,21,5,13,3,167,NA,41.898932,12.514657,11:08.4
6,11172461,28862265,Entire home/apt,NA,XVII Municipio,37,5,5,2,156,NA,41.907166,12.468682,14:21.7
7,12269954,34772553,Private room,NA,XVIII Municipio,26,4.5,2,1,55,NA,41.895846,12.455795,13:53.1
8,17629924,22876660,Entire home/apt,NA,I Municipio,0,0,6,2,417,NA,41.896575,12.47604,16:11.3
9,4255840,22085263,Entire home/apt,NA,XVI Municipio,46,5,4,1,89,NA,41.885477,12.458023,43:04.5
10,231952,1212719,Entire home/apt,NA,XVII Municipio,9,5,5,2,100,NA,41.90983,12.445786,38:31.3
11,961317,2291212,Private room,NA,III Municipio,0,0,2,1,89,NA,41.899815,12.51025,11:11.6
12,6426133,24352806,Entire home/apt,NA,XVI Municipio,20,5,2,1,67,NA,41.873823,12.46858,47:41.3
13,2735302,13996203,Entire home/apt,NA,III Municipio,1,0,5,2,62,NA,41.920242,12.521761,58:47.1
14,15465788,16900502,Entire home/apt,NA,VI Municipio,2,0,4,1,67,NA,41.871254,12.541642,37:15.1
15,3066206,15604552,Entire home/apt,NA,XVI Municipio,109,4.5,4,1,68,NA,41.879055,12.467757,37:16.6
16,3463391,14300515,Entire home/apt,NA,IX Municipio,76,5,3,1,100,NA,41.880983,12.514771,16:01.7
17,12127838,8448591,Entire home/apt,NA,I Municipio,22,4,5,1,139,NA,41.894354,12.473139,40:23.0
18,3723604,13064328,Entire home/apt,NA,XVII Municipio,28,4.5,3,0,56,NA,41.902956,12.447057,23:56.7
19,12801035,537257,Private room,NA,VI Municipio,21,4.5,2,1,33,NA,41.893502,12.527926,10:10.0
20,4790825,24693033,Entire home/apt,NA,I Municipio,1,0,2,1,111,NA,41.900245,12.477404,50:41.5
21,10333768,53178152,Entire home/apt,NA,XVIII Municipio,29,4,4,0,74,NA,41.895581,12.452278,56:26.4
22,3306859,16699830,Entire home/apt,NA,I Municipio,26,4.5,6,2,100,NA,41.896193,12.501981,17:45.2
23,3172035,7576103,Entire home/apt,NA,I Municipio,16,4.5,7,3,433,NA,41.900268,12.471049,16:01.8
24,5188471,18744779,Entire home/apt,NA,I Municipio,116,5,5,2,109,NA,41.899111,12.491085,44:04.2
25,6295679,32736874,Entire home/apt,NA,XI Municipio,59,5,12,3,95,NA,41.854444,12.47735,24:51.7
26,2784746,14245104,Entire home/apt,NA,I Municipio,123,5,4,1,83,NA,41.886035,12.468864,15:06.0
27,15247259,96956581,Entire home/apt,NA,XVII Municipio,2,0,9,3,78,NA,41.90929,12.454542,57:33.4
28,353546,132622,Private room,NA,I Municipio,2,0,2,1,52,NA,41.89733,12.496782,35:50.1
29,1833305,9587458,Entire home/apt,NA,XVII Municipio,23,4.5,5,2,78,NA,41.903264,12.447407,59:30.8
30,17844591,2378012,Entire home/apt,NA,I Municipio,0,0,3,2,167,NA,41.897916,12.466729,20:13.0
31,17472081,18137819,Entire home/apt,NA,I Municipio,0,0,6,2,108,NA,41.887815,12.496972,48:25.7
32,1758150,9241954,Private room,NA,VI Municipio,34,4.5,2,1,32,NA,41.890862,12.525794,11:37.3
33,6110018,5485209,Entire home/apt,NA,I Municipio,7,5,4,2,445,NA,41.889444,12.47137,15:58.4
34,6368797,33187075,Private room,NA,XVII Municipio,0,0,3,1,66,NA,41.906581,12.457212,49:18.3
35,7261958,38018263,Entire home/apt,NA,I Municipio,1,0,2,1,100,NA,41.886728,12.495299,04:29.5
36,15559787,15127695,Private room,NA,I Municipio,0,0,2,1,123,NA,41.899854,12.483731,03:17.8
37,11351691,56996792,Private room,NA,VIII Municipio,1,0,2,1,50,NA,41.864575,12.671326,04:17.6
